Acronym,Name,Download_Link
NMDCO,NMDC Ontology,https://data.bioontology.org/ontologies/NMDCO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OGR,Ontology of Geographical Region,https://data.bioontology.org/ontologies/OGR/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ISO19115EX,ISO 19115 Extent Information,https://data.bioontology.org/ontologies/ISO19115EX/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
COGPO,Cognitive Paradigm Ontology,https://data.bioontology.org/ontologies/COGPO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ONTODM-KDD,Ontology of Data Mining Investigations,https://data.bioontology.org/ontologies/ONTODM-KDD/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ESFO,Enzyme Structure Function Ontology,https://data.bioontology.org/ontologies/ESFO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
GECKO,Genomics Cohorts Knowledge Ontology,https://data.bioontology.org/ontologies/GECKO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
SBO,Systems Biology Ontology,https://data.bioontology.org/ontologies/SBO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
SBOL,Synthetic Biology Open Language Visual Ontology,https://data.bioontology.org/ontologies/SBOL/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OHPI,Ontology of Host-Pathogen Interactions,https://data.bioontology.org/ontologies/OHPI/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
GDOA,Graphic Descriptor Ontology Anatomy Extension,https://data.bioontology.org/ontologies/GDOA/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PTO,Plant Trait Ontology,https://data.bioontology.org/ontologies/PTO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
MELLO-D,MEdical LifeLog Ontology for people with Disability,https://data.bioontology.org/ontologies/MELLO-D/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ECOCORE,An ontology of core ecological entities,https://data.bioontology.org/ontologies/ECOCORE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
FIRE,Fire Ontology,https://data.bioontology.org/ontologies/FIRE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ECM4M-MD-VOCABS,EarthCube M4M Metadata Vocabulary,https://data.bioontology.org/ontologies/ECM4M-MD-VOCABS/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
DDANAT,Dictyostelium Discoideum Anatomy Ontology,https://data.bioontology.org/ontologies/DDANAT/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PATIT,Placental Investigative Technique,https://data.bioontology.org/ontologies/PATIT/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
EMAP,Mouse Gross Anatomy and Development Ontology,https://data.bioontology.org/ontologies/EMAP/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ITEMAS,Medical Technology Innovation in healthcare centers,https://data.bioontology.org/ontologies/ITEMAS/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
SENSO,Sensitive Data Ontology,https://data.bioontology.org/ontologies/SENSO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
BOF,Biodiversity Ontology,https://data.bioontology.org/ontologies/BOF/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
UGANDA_DISEASES,Uganda_diseases,https://data.bioontology.org/ontologies/UGANDA_DISEASES/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
TAO,Teleost Anatomy Ontology,https://data.bioontology.org/ontologies/TAO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
TAON,Therapeutic Antibody Ontology,https://data.bioontology.org/ontologies/TAON/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
SPO,Skin Physiology Ontology,https://data.bioontology.org/ontologies/SPO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OBOREL,Relations Ontology,https://data.bioontology.org/ontologies/OBOREL/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
XEO,XEML Environment Ontology,https://data.bioontology.org/ontologies/XEO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
DOVES,Digital medicine Outcomes Value Set (DOVeS) Ontology,https://data.bioontology.org/ontologies/DOVES/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
NIGO,Neural-Immune Gene Ontology,https://data.bioontology.org/ontologies/NIGO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
BPFORMS,"Ontology of chemically concrete, composable DNA, RNA, and protein residue and crosslinks",https://data.bioontology.org/ontologies/BPFORMS/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
DATACITE,SPAR DataCite Ontology,https://data.bioontology.org/ontologies/DATACITE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
MARC-RELATORS,MARC Code List for Relators,https://data.bioontology.org/ontologies/MARC-RELATORS/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
FDC-GDMT,Ontology for Generic Dataset Metadata Template,https://data.bioontology.org/ontologies/FDC-GDMT/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ONTOTOX,Chemotherapy Toxicities Ontology,https://data.bioontology.org/ontologies/ONTOTOX/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CTX,Cerebrotendinous Xanthomatosis Ontology,https://data.bioontology.org/ontologies/CTX/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PMA,Portfolio Management Application,https://data.bioontology.org/ontologies/PMA/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PPO,Plant Phenology Ontology,https://data.bioontology.org/ontologies/PPO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
STO-DRAFT,The Stroke Ontology,https://data.bioontology.org/ontologies/STO-DRAFT/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
AEO,Anatomical Entity Ontology,https://data.bioontology.org/ontologies/AEO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
BTO-PROVO,Brinell Test Ontology-PROVO,https://data.bioontology.org/ontologies/BTO-PROVO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
UPA,Unipathway,https://data.bioontology.org/ontologies/UPA/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
DCT,DC Terms,https://data.bioontology.org/ontologies/DCT/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CO-WHEAT,Wheat Trait Ontology ,https://data.bioontology.org/ontologies/CO-WHEAT/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
MOP,Molecular Process Ontology,https://data.bioontology.org/ontologies/MOP/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
INTO,Indian Terrorism Ontology,https://data.bioontology.org/ontologies/INTO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
HENECON,Head and Neck Cancer Ontology,https://data.bioontology.org/ontologies/HENECON/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OGDI,Ontology for Genetic Disease Investigations,https://data.bioontology.org/ontologies/OGDI/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ECSO,The Ecosystem Ontology,https://data.bioontology.org/ontologies/ECSO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
GPML,Graphical Pathway Markup Language,https://data.bioontology.org/ontologies/GPML/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OLAM,Ontology of Laboratory Animal Medicine,https://data.bioontology.org/ontologies/OLAM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OLAS,Ontology of Laboratory Animal Science,https://data.bioontology.org/ontologies/OLAS/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
EUPATH,VEuPathDB Ontology,https://data.bioontology.org/ontologies/EUPATH/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PAINO,Pain Ontology,https://data.bioontology.org/ontologies/PAINO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
O-REXTECH,OSIRIS-REx Analytical Technique,https://data.bioontology.org/ontologies/O-REXTECH/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
FDSAJFAHSJK,OWL_XML_Tool5,https://data.bioontology.org/ontologies/FDSAJFAHSJK/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
BHN,Biologie Hors Nomenclature,https://data.bioontology.org/ontologies/BHN/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
BRAIN-COF,Computational Ontology Framework for Brain Profiles,https://data.bioontology.org/ontologies/BRAIN-COF/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PNADO,Pneumonia Diagnosis Ontology,https://data.bioontology.org/ontologies/PNADO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
FLOPO,Flora Phenotype Ontology,https://data.bioontology.org/ontologies/FLOPO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ORNASEQ,Ontology of RNA Sequencing,https://data.bioontology.org/ontologies/ORNASEQ/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ONTOAD,Bilingual Ontology of Alzheimer's Disease and Related Diseases,https://data.bioontology.org/ontologies/ONTOAD/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
HRDO,Disease core ontology applied to Rare Diseases,https://data.bioontology.org/ontologies/HRDO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CDPEO,Chronic Disease Patient Education Ontology,https://data.bioontology.org/ontologies/CDPEO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PSO,PatientSafetyOntology,https://data.bioontology.org/ontologies/PSO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CARELEX,Content Archive Resource Exchange Lexicon,https://data.bioontology.org/ontologies/CARELEX/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ELTER_CL,eLTER Controlled Lists,https://data.bioontology.org/ontologies/ELTER_CL/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
MATRROCKIGNEOUS,Material Rock Igneouus,https://data.bioontology.org/ontologies/MATRROCKIGNEOUS/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
BMS-LM,BioMedical Study Lifecycle Management,https://data.bioontology.org/ontologies/BMS-LM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
LIPRO,Lipid Ontology,https://data.bioontology.org/ontologies/LIPRO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OPDRE,OPD Regitry Ethiopia,https://data.bioontology.org/ontologies/OPDRE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
FB-CV,FlyBase Controlled Vocabulary,https://data.bioontology.org/ontologies/FB-CV/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CHEBI,Chemical Entities of Biological Interest Ontology,https://data.bioontology.org/ontologies/CHEBI/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PMO-SPEED,PMO Playing Speed Vocabulary,https://data.bioontology.org/ontologies/PMO-SPEED/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
IDODEN,Dengue Fever Ontology,https://data.bioontology.org/ontologies/IDODEN/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
BIRTHONTO,BirthOnto: Birth Data Analysis,https://data.bioontology.org/ontologies/BIRTHONTO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
MMO,Measurement Method Ontology,https://data.bioontology.org/ontologies/MMO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
IDOMAL,Malaria Ontology,https://data.bioontology.org/ontologies/IDOMAL/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
MEO,Metagenome and Microbes Environmental Ontology,https://data.bioontology.org/ontologies/MEO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
IDEM,IDEM: wInD Energy Models Taxonomy,https://data.bioontology.org/ontologies/IDEM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
DILON,Dietary lifestyle ontology,https://data.bioontology.org/ontologies/DILON/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
FMPM,Food Matrix for Predictive Microbiology,https://data.bioontology.org/ontologies/FMPM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
EDAM,EDAM - The data analysis and management ontology,https://data.bioontology.org/ontologies/EDAM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
IXNO,Interaction Ontology,https://data.bioontology.org/ontologies/IXNO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PATCT,Placental Cell Type,https://data.bioontology.org/ontologies/PATCT/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
GML,Ontology for Geography Markup Language (GML3.0),https://data.bioontology.org/ontologies/GML/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
HIV,HIV ontology,https://data.bioontology.org/ontologies/HIV/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
DSIP1V,DSIP1_vocabulary,https://data.bioontology.org/ontologies/DSIP1V/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OBCS,Ontology of Biological and Clinical Statistics,https://data.bioontology.org/ontologies/OBCS/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
suicideo,suicideonto,https://data.bioontology.org/ontologies/suicideo/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
SMASH,SMASH Ontology,https://data.bioontology.org/ontologies/SMASH/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
MRO,Defen,https://data.bioontology.org/ontologies/MRO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
BAO,BioAssay Ontology,https://data.bioontology.org/ontologies/BAO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
GVO,Genome Variation Ontology,https://data.bioontology.org/ontologies/GVO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
NIFCELL,Neuroscience Information Framework (NIF) Cell Ontology,https://data.bioontology.org/ontologies/NIFCELL/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
IBD,Indian Biodiversity Ontology,https://data.bioontology.org/ontologies/IBD/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ISO19115DTC,ISO 19115 Date Type Code,https://data.bioontology.org/ontologies/ISO19115DTC/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ONL-MR-DA,Magnetic Resonance Dataset Acquisition Ontology,https://data.bioontology.org/ontologies/ONL-MR-DA/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CTENO,Ctenophore Ontology,https://data.bioontology.org/ontologies/CTENO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
MSR,Mammography screening recommendation,https://data.bioontology.org/ontologies/MSR/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
BIPOM,Biological interlocked Process Ontology for metabolism,https://data.bioontology.org/ontologies/BIPOM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
LOINC,Logical Observation Identifier Names and Codes,https://data.bioontology.org/ontologies/LOINC/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ENTITY,ISO-15926-2_2003_entityMembership,https://data.bioontology.org/ontologies/ENTITY/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
RADLEX,Radiology Lexicon,https://data.bioontology.org/ontologies/RADLEX/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
VIO,Vaccine Investigation Ontology,https://data.bioontology.org/ontologies/VIO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
MCO4MCRE,Multiplex Classification Ontology for the MultiCaRe Experiment,https://data.bioontology.org/ontologies/MCO4MCRE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
RDL,RDL,https://data.bioontology.org/ontologies/RDL/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
SURGICAL,Nurse Surgical,https://data.bioontology.org/ontologies/SURGICAL/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
RADXTT-MVREASONS,RADx Tiger Team Missing Value Reasons,https://data.bioontology.org/ontologies/RADXTT-MVREASONS/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OMCO,OligoMetastatic Cancer Ontology,https://data.bioontology.org/ontologies/OMCO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
BPT,Biological Pathway Taxonomy,https://data.bioontology.org/ontologies/BPT/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CHO,ChemoOnto,https://data.bioontology.org/ontologies/CHO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
BMT,Biomedical Topics,https://data.bioontology.org/ontologies/BMT/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
UPHENO,Combined Phenotype Ontology,https://data.bioontology.org/ontologies/UPHENO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
WEAVE,WEAVE: Wind Energy ActiVitiEs,https://data.bioontology.org/ontologies/WEAVE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PLANA,Planarian Anatomy and Developmental Stage Ontolgoy,https://data.bioontology.org/ontologies/PLANA/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
MNR,Material Natural Resource ,https://data.bioontology.org/ontologies/MNR/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ELIG,Eligibility Feature Hierarchy,https://data.bioontology.org/ontologies/ELIG/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
VARIO,Variation Ontology,https://data.bioontology.org/ontologies/VARIO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PORO,Porifera Ontology,https://data.bioontology.org/ontologies/PORO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ASDPTO,Autism Spectrum Disorder Phenotype Ontology,https://data.bioontology.org/ontologies/ASDPTO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
SOY,Soy Ontology,https://data.bioontology.org/ontologies/SOY/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CRO,Contributor Role Ontology,https://data.bioontology.org/ontologies/CRO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
LEGALAPA,legalapa,https://data.bioontology.org/ontologies/LEGALAPA/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
DEB,"Devices, Experimental scaffolds and Biomaterials Ontology",https://data.bioontology.org/ontologies/DEB/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
APRO,Ancient Poet Resource Ontology,https://data.bioontology.org/ontologies/APRO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ICPS,International Classification for Patient Safety,https://data.bioontology.org/ontologies/ICPS/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CABRO,Computer Assisted Brain Injury Rehabilitation Ontology,https://data.bioontology.org/ontologies/CABRO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
HELIFIT,HeLiFit-Ontology,https://data.bioontology.org/ontologies/HELIFIT/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
I2SV,Integration and Implementation Sciences Vocabulary,https://data.bioontology.org/ontologies/I2SV/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OCHV,Ontology of Consumer Health Vocabulary,https://data.bioontology.org/ontologies/OCHV/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
GRO-CPD,Cereal Plant Development Ontology,https://data.bioontology.org/ontologies/GRO-CPD/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
NIFSUBCELL,Neuroscience Information Framework (NIF) Subcellular Ontology,https://data.bioontology.org/ontologies/NIFSUBCELL/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
NMOSP,NeuroMorpho.Org species ontology,https://data.bioontology.org/ontologies/NMOSP/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
FB-DV,Drosophila Development Ontology,https://data.bioontology.org/ontologies/FB-DV/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CHIRO,CHEBI Integrated Role Ontology,https://data.bioontology.org/ontologies/CHIRO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
HAMIDEHSGH,Inherited Retinal Dystrophy,https://data.bioontology.org/ontologies/HAMIDEHSGH/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
MIM,Molecular Interaction Map,https://data.bioontology.org/ontologies/MIM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
SEPON,Sepsis Ontology,https://data.bioontology.org/ontologies/SEPON/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
TMA,Tissue Microarray Ontology,https://data.bioontology.org/ontologies/TMA/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
TIMEBANK,Timebank Ontology,https://data.bioontology.org/ontologies/TIMEBANK/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
NERO,Named Entity Recognition Ontology ,https://data.bioontology.org/ontologies/NERO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
N-CDOH,Non Clinical Determinants of Health,https://data.bioontology.org/ontologies/N-CDOH/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OCD,OCD ontology,https://data.bioontology.org/ontologies/OCD/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OCDM,Ontology of Craniofacial Development and Malformation,https://data.bioontology.org/ontologies/OCDM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CEDARPC,CEDAR Provisional Classes,https://data.bioontology.org/ontologies/CEDARPC/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
WSM-LIBRARY,MWS,https://data.bioontology.org/ontologies/WSM-LIBRARY/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
MNV,VODANA Migrants,https://data.bioontology.org/ontologies/MNV/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
NIST_GEL,NIST Genome Editing Lexicon,https://data.bioontology.org/ontologies/NIST_GEL/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
FAST-FORMGENRE,FAST (Faceted Application of Subject Terminology) FormGenre facet,https://data.bioontology.org/ontologies/FAST-FORMGENRE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CVDO,Cardiovascular Disease Ontology,https://data.bioontology.org/ontologies/CVDO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
SPTO,Solanaceae Phenotype Ontology,https://data.bioontology.org/ontologies/SPTO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
GALEN,Galen Ontology,https://data.bioontology.org/ontologies/GALEN/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
BIOMODELS,BioModels Ontology,https://data.bioontology.org/ontologies/BIOMODELS/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PREGONTO,Pregnancy Ontology,https://data.bioontology.org/ontologies/PREGONTO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
URL,URL ONTOLOGY,https://data.bioontology.org/ontologies/URL/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
EXO,Exposure Ontology,https://data.bioontology.org/ontologies/EXO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
EXON,Experimental Ontology,https://data.bioontology.org/ontologies/EXON/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
DCAT-FDC,Data Catalog Vocabulary (DCAT),https://data.bioontology.org/ontologies/DCAT-FDC/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
POEM,Psychometric Ontology of Experiences and Measures,https://data.bioontology.org/ontologies/POEM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OFL, A comprehensive ontology of flaps in reconstructive surgery,https://data.bioontology.org/ontologies/OFL/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
SD3,Simulation Delivery and Documentation Deviations,https://data.bioontology.org/ontologies/SD3/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
BT,BioTop Ontology,https://data.bioontology.org/ontologies/BT/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
BE,Bioentities,https://data.bioontology.org/ontologies/BE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
BP,BioPAX Ontology of Biological Pathways,https://data.bioontology.org/ontologies/BP/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ONTOLURGENCES,Emergency care ontology,https://data.bioontology.org/ontologies/ONTOLURGENCES/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
TEST_CBI,test_cbi,https://data.bioontology.org/ontologies/TEST_CBI/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ADCAD,Arctic Data Center Academic Disciplines Ontology,https://data.bioontology.org/ontologies/ADCAD/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
DECIDE,DECIDE ONTOLOGY,https://data.bioontology.org/ontologies/DECIDE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ISO19115ROLES,ISO 19115 Role Codes,https://data.bioontology.org/ontologies/ISO19115ROLES/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ODNAE,Ontology of Drug Neuropathy Adverse Events,https://data.bioontology.org/ontologies/ODNAE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PSO_2,PatientSafetyOntologyRevisted,https://data.bioontology.org/ontologies/PSO_2/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ONTODM-ALGORITHM,OntoDM-core/algorithms,https://data.bioontology.org/ontologies/ONTODM-ALGORITHM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
VFB_DRIVERS,vfb_drivers,https://data.bioontology.org/ontologies/VFB_DRIVERS/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
LIFO,Life Ontology,https://data.bioontology.org/ontologies/LIFO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PHY,physiotherapy,https://data.bioontology.org/ontologies/PHY/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
DERMO,Human Dermatological Disease Ontology,https://data.bioontology.org/ontologies/DERMO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
MSV,Metagenome Sample Vocabulary,https://data.bioontology.org/ontologies/MSV/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OCRE,Ontology of Clinical Research,https://data.bioontology.org/ontologies/OCRE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
