title,id,keywords,description,url,sub classification,owl link,License URL,Record Count,,,,,,,,url
IDEM: wInD Energy Models Taxonomy,IDEM,"Epidemiology, Public Health",Infectious Disease Emergence Ontology,https://bioportal.bioontology.org/ontologies/IDEM,,,,,,,,,,,,https://data.bioontology.org/ontologies/IDEM
Dietary lifestyle ontology,DILON,No categories listed,-,https://bioportal.bioontology.org/ontologies/DILON,,,,,,,,,,,,https://data.bioontology.org/ontologies/DILON
Food Matrix for Predictive Microbiology,FMPM,"Microbiology, Phenomics",Microbial Phenotype Ontology,https://bioportal.bioontology.org/ontologies/FMPM,,,,,,,,,,,,https://data.bioontology.org/ontologies/FMPM
EDAM - The data analysis and management ontology,EDAM,"Bioinformatics, Data Science",Data Analysis Methods,https://bioportal.bioontology.org/ontologies/EDAM,,,,,,,,,,,,https://data.bioontology.org/ontologies/EDAM
Interaction Ontology,IXNO,No categories listed,-,https://bioportal.bioontology.org/ontologies/IXNO,,,,,,,,,,,,https://data.bioontology.org/ontologies/IXNO
Placental Cell Type,PATCT,"Pathology, Clinical Medicine",Pathology Tests Ontology,https://bioportal.bioontology.org/ontologies/PATCT,,,,,,,,,,,,https://data.bioontology.org/ontologies/PATCT
Ontology for Geography Markup Language (GML3.0),GML,"Geography, Geospatial",Geography Markup Language,https://bioportal.bioontology.org/ontologies/GML,,,,,,,,,,,,https://data.bioontology.org/ontologies/GML
HIV ontology,HIV,"Virology, Immunology",HIV Pathogenesis Ontology,https://bioportal.bioontology.org/ontologies/HIV,,,,,,,,,,,,https://data.bioontology.org/ontologies/HIV
DSIP1_vocabulary,DSIP1V,No categories listed,-,https://bioportal.bioontology.org/ontologies/DSIP1V,,,,,,,,,,,,https://data.bioontology.org/ontologies/DSIP1V
Ontology of Biological and Clinical Statistics,OBCS,"Neuroscience, Behavior",Cognitive Systems Ontology,https://bioportal.bioontology.org/ontologies/OBCS,,,,,,,,,,,,https://data.bioontology.org/ontologies/OBCS
suicideonto,suicideo,"Psychiatry, Public Health",Suicide Surveillance Ontology,https://bioportal.bioontology.org/ontologies/suicideo,,,,,,,,,,,,https://data.bioontology.org/ontologies/suicideo
SMASH Ontology,SMASH,No categories listed,-,https://bioportal.bioontology.org/ontologies/SMASH,,,,,,,,,,,,https://data.bioontology.org/ontologies/SMASH
Defen,MRO,"Reproductive Biology, Anatomy",Mouse Reproductive Ontology,https://bioportal.bioontology.org/ontologies/MRO,,,,,,,,,,,,https://data.bioontology.org/ontologies/MRO
BioAssay Ontology,BAO,"Pharmacology, Toxicology",BioAssay Ontology,https://bioportal.bioontology.org/ontologies/BAO,,,,,,,,,,,,https://data.bioontology.org/ontologies/BAO
Genome Variation Ontology,GVO,"Genomics, Bioinformatics",Genome Variation Ontology,https://bioportal.bioontology.org/ontologies/GVO,,,,,,,,,,,,https://data.bioontology.org/ontologies/GVO
Neuroscience Information Framework (NIF) Cell Ontology,NIFCELL,"Neuroscience, Cell Biology",NIF Cell Ontology,https://bioportal.bioontology.org/ontologies/NIFCELL,,,,,,,,,,,,https://data.bioontology.org/ontologies/NIFCELL
Indian Biodiversity Ontology,IBD,Gastroenterology,Inflammatory Bowel Disease Ontology,https://bioportal.bioontology.org/ontologies/IBD,,,,,,,,,,,,https://data.bioontology.org/ontologies/IBD
ISO 19115 Date Type Code,ISO19115DTC,Geospatial,ISO Metadata for Data Transfer,https://bioportal.bioontology.org/ontologies/ISO19115DTC,,,,,,,,,,,,https://data.bioontology.org/ontologies/ISO19115DTC
Magnetic Resonance Dataset Acquisition Ontology,ONL-MR-DA,No categories listed,-,https://bioportal.bioontology.org/ontologies/ONL-MR-DA,,,,,,,,,,,,https://data.bioontology.org/ontologies/ONL-MR-DA
Ctenophore Ontology,CTENO,Marine Biology,Ctenophore Ontology,https://bioportal.bioontology.org/ontologies/CTENO,,,,,,,,,,,,https://data.bioontology.org/ontologies/CTENO
Mammography screening recommendation,MSR,No categories listed,-,https://bioportal.bioontology.org/ontologies/MSR,,,,,,,,,,,,https://data.bioontology.org/ontologies/MSR
Biological interlocked Process Ontology for metabolism,BIPOM,No categories listed,-,https://bioportal.bioontology.org/ontologies/BIPOM,,,,,,,,,,,,https://data.bioontology.org/ontologies/BIPOM
Logical Observation Identifier Names and Codes,LOINC,Clinical,Logical Observation Identifiers,https://bioportal.bioontology.org/ontologies/LOINC,,,,,,,,,,,,https://data.bioontology.org/ontologies/LOINC
ISO-15926-2_2003_entityMembership,ENTITY,No categories listed,-,https://bioportal.bioontology.org/ontologies/ENTITY,,,,,,,,,,,,https://data.bioontology.org/ontologies/ENTITY
Radiology Lexicon,RADLEX,Radiology,Radiology Lexicon,https://bioportal.bioontology.org/ontologies/RADLEX,,,,,,,,,,,,https://data.bioontology.org/ontologies/RADLEX
Vaccine Investigation Ontology,VIO,No categories listed,-,https://bioportal.bioontology.org/ontologies/VIO,,,,,,,,,,,,https://data.bioontology.org/ontologies/VIO
Multiplex Classification Ontology for the MultiCaRe Experiment,MCO4MCRE,No categories listed,-,https://bioportal.bioontology.org/ontologies/MCO4MCRE,,,,,,,,,,,,https://data.bioontology.org/ontologies/MCO4MCRE
RDL,RDL,No categories listed,-,https://bioportal.bioontology.org/ontologies/RDL,,,,,,,,,,,,https://data.bioontology.org/ontologies/RDL
Nurse Surgical,SURGICAL,Surgery,Surgical Procedures Ontology,https://bioportal.bioontology.org/ontologies/SURGICAL,,,,,,,,,,,,https://data.bioontology.org/ontologies/SURGICAL
RADx Tiger Team Missing Value Reasons,RADXTT-MVREASONS,No categories listed,-,https://bioportal.bioontology.org/ontologies/RADXTT-MVREASONS,,,,,,,,,,,,https://data.bioontology.org/ontologies/RADXTT-MVREASONS
OligoMetastatic Cancer Ontology,OMCO,No categories listed,-,https://bioportal.bioontology.org/ontologies/OMCO,,,,,,,,,,,,https://data.bioontology.org/ontologies/OMCO
Biological Pathway Taxonomy,BPT,No categories listed,-,https://bioportal.bioontology.org/ontologies/BPT,,,,,,,,,,,,https://data.bioontology.org/ontologies/BPT
ChemoOnto,CHO,No categories listed,-,https://bioportal.bioontology.org/ontologies/CHO,,,,,,,,,,,,https://data.bioontology.org/ontologies/CHO
Biomedical Topics,BMT,No categories listed,-,https://bioportal.bioontology.org/ontologies/BMT,,,,,,,,,,,,https://data.bioontology.org/ontologies/BMT
Combined Phenotype Ontology,UPHENO,Phenotype,Unified Phenotype Ontology,https://bioportal.bioontology.org/ontologies/UPHENO,,,,,,,,,,,,https://data.bioontology.org/ontologies/UPHENO
WEAVE: Wind Energy ActiVitiEs,WEAVE,No categories listed,-,https://bioportal.bioontology.org/ontologies/WEAVE,,,,,,,,,,,,https://data.bioontology.org/ontologies/WEAVE
Planarian Anatomy and Developmental Stage Ontolgoy,PLANA,No categories listed,-,https://bioportal.bioontology.org/ontologies/PLANA,,,,,,,,,,,,https://data.bioontology.org/ontologies/PLANA
Material Natural Resource ,MNR,No categories listed,-,https://bioportal.bioontology.org/ontologies/MNR,,,,,,,,,,,,https://data.bioontology.org/ontologies/MNR
Eligibility Feature Hierarchy,ELIG,No categories listed,-,https://bioportal.bioontology.org/ontologies/ELIG,,,,,,,,,,,,https://data.bioontology.org/ontologies/ELIG
Variation Ontology,VARIO,Genetics,Variation Ontology,https://bioportal.bioontology.org/ontologies/VARIO,,,,,,,,,,,,https://data.bioontology.org/ontologies/VARIO
Porifera Ontology,PORO,No categories listed,-,https://bioportal.bioontology.org/ontologies/PORO,,,,,,,,,,,,https://data.bioontology.org/ontologies/PORO
Autism Spectrum Disorder Phenotype Ontology,ASDPTO,No categories listed,-,https://bioportal.bioontology.org/ontologies/ASDPTO,,,,,,,,,,,,https://data.bioontology.org/ontologies/ASDPTO
Soy Ontology,SOY,Agriculture,Soybean Trait Ontology,https://bioportal.bioontology.org/ontologies/SOY,,,,,,,,,,,,https://data.bioontology.org/ontologies/SOY
Contributor Role Ontology,CRO,,,https://bioportal.bioontology.org/ontologies/CRO,,,,,,,,,,,,https://data.bioontology.org/ontologies/CRO
legalapa,LEGALAPA,,,https://bioportal.bioontology.org/ontologies/LEGALAPA,,,,,,,,,,,,https://data.bioontology.org/ontologies/LEGALAPA
"Devices, Experimental scaffolds and Biomaterials Ontology",DEB,,,https://bioportal.bioontology.org/ontologies/DEB,,,,,,,,,,,,https://data.bioontology.org/ontologies/DEB
Ancient Poet Resource Ontology,APRO,,,https://bioportal.bioontology.org/ontologies/APRO,,,,,,,,,,,,https://data.bioontology.org/ontologies/APRO
International Classification for Patient Safety,ICPS,,,https://bioportal.bioontology.org/ontologies/ICPS,,,,,,,,,,,,https://data.bioontology.org/ontologies/ICPS
Computer Assisted Brain Injury Rehabilitation Ontology,CABRO,,,https://bioportal.bioontology.org/ontologies/CABRO,,,,,,,,,,,,https://data.bioontology.org/ontologies/CABRO
HeLiFit-Ontology,HELIFIT,,,https://bioportal.bioontology.org/ontologies/HELIFIT,,,,,,,,,,,,https://data.bioontology.org/ontologies/HELIFIT
Integration and Implementation Sciences Vocabulary,I2SV,,,https://bioportal.bioontology.org/ontologies/I2SV,,,,,,,,,,,,https://data.bioontology.org/ontologies/I2SV
Ontology of Consumer Health Vocabulary,OCHV,,,https://bioportal.bioontology.org/ontologies/OCHV,,,,,,,,,,,,https://data.bioontology.org/ontologies/OCHV
Cereal Plant Development Ontology,GRO-CPD,,,https://bioportal.bioontology.org/ontologies/GRO-CPD,,,,,,,,,,,,https://data.bioontology.org/ontologies/GRO-CPD
Neuroscience Information Framework (NIF) Subcellular Ontology,NIFSUBCELL,,,https://bioportal.bioontology.org/ontologies/NIFSUBCELL,,,,,,,,,,,,https://data.bioontology.org/ontologies/NIFSUBCELL
NeuroMorpho.Org species ontology,NMOSP,,,https://bioportal.bioontology.org/ontologies/NMOSP,,,,,,,,,,,,https://data.bioontology.org/ontologies/NMOSP
Drosophila Development Ontology,FB-DV,,,https://bioportal.bioontology.org/ontologies/FB-DV,,,,,,,,,,,,https://data.bioontology.org/ontologies/FB-DV
CHEBI Integrated Role Ontology,CHIRO,,,https://bioportal.bioontology.org/ontologies/CHIRO,,,,,,,,,,,,https://data.bioontology.org/ontologies/CHIRO
Inherited Retinal Dystrophy,HAMIDEHSGH,,,https://bioportal.bioontology.org/ontologies/HAMIDEHSGH,,,,,,,,,,,,https://data.bioontology.org/ontologies/HAMIDEHSGH
Molecular Interaction Map,MIM,,,https://bioportal.bioontology.org/ontologies/MIM,,,,,,,,,,,,https://data.bioontology.org/ontologies/MIM
Sepsis Ontology,SEPON,,,https://bioportal.bioontology.org/ontologies/SEPON,,,,,,,,,,,,https://data.bioontology.org/ontologies/SEPON
Tissue Microarray Ontology,TMA,,,https://bioportal.bioontology.org/ontologies/TMA,,,,,,,,,,,,https://data.bioontology.org/ontologies/TMA
Timebank Ontology,TIMEBANK,,,https://bioportal.bioontology.org/ontologies/TIMEBANK,,,,,,,,,,,,https://data.bioontology.org/ontologies/TIMEBANK
Named Entity Recognition Ontology ,NERO,,,https://bioportal.bioontology.org/ontologies/NERO,,,,,,,,,,,,https://data.bioontology.org/ontologies/NERO
Non Clinical Determinants of Health,N-CDOH,,,https://bioportal.bioontology.org/ontologies/N-CDOH,,,,,,,,,,,,https://data.bioontology.org/ontologies/N-CDOH
OCD ontology,OCD,,,https://bioportal.bioontology.org/ontologies/OCD,,,,,,,,,,,,https://data.bioontology.org/ontologies/OCD
Ontology of Craniofacial Development and Malformation,OCDM,,,https://bioportal.bioontology.org/ontologies/OCDM,,,,,,,,,,,,https://data.bioontology.org/ontologies/OCDM
CEDAR Provisional Classes,CEDARPC,,,https://bioportal.bioontology.org/ontologies/CEDARPC,,,,,,,,,,,,https://data.bioontology.org/ontologies/CEDARPC
MWS,WSM-LIBRARY,,,https://bioportal.bioontology.org/ontologies/WSM-LIBRARY,,,,,,,,,,,,https://data.bioontology.org/ontologies/WSM-LIBRARY
VODANA Migrants,MNV,,,https://bioportal.bioontology.org/ontologies/MNV,,,,,,,,,,,,https://data.bioontology.org/ontologies/MNV
NIST Genome Editing Lexicon,NIST_GEL,,,https://bioportal.bioontology.org/ontologies/NIST_GEL,,,,,,,,,,,,https://data.bioontology.org/ontologies/NIST_GEL
FAST (Faceted Application of Subject Terminology) FormGenre facet,FAST-FORMGENRE,,,https://bioportal.bioontology.org/ontologies/FAST-FORMGENRE,,,,,,,,,,,,https://data.bioontology.org/ontologies/FAST-FORMGENRE
Cardiovascular Disease Ontology,CVDO,,,https://bioportal.bioontology.org/ontologies/CVDO,,,,,,,,,,,,https://data.bioontology.org/ontologies/CVDO
Solanaceae Phenotype Ontology,SPTO,,,https://bioportal.bioontology.org/ontologies/SPTO,,,,,,,,,,,,https://data.bioontology.org/ontologies/SPTO
Galen Ontology,GALEN,,,https://bioportal.bioontology.org/ontologies/GALEN,,,,,,,,,,,,https://data.bioontology.org/ontologies/GALEN
BioModels Ontology,BIOMODELS,,,https://bioportal.bioontology.org/ontologies/BIOMODELS,,,,,,,,,,,,https://data.bioontology.org/ontologies/BIOMODELS
Pregnancy Ontology,PREGONTO,,,https://bioportal.bioontology.org/ontologies/PREGONTO,,,,,,,,,,,,https://data.bioontology.org/ontologies/PREGONTO
URL ONTOLOGY,URL,,,https://bioportal.bioontology.org/ontologies/URL,,,,,,,,,,,,https://data.bioontology.org/ontologies/URL
Exposure Ontology,EXO,,,https://bioportal.bioontology.org/ontologies/EXO,,,,,,,,,,,,https://data.bioontology.org/ontologies/EXO
Experimental Ontology,EXON,,,https://bioportal.bioontology.org/ontologies/EXON,,,,,,,,,,,,https://data.bioontology.org/ontologies/EXON
Data Catalog Vocabulary (DCAT),DCAT-FDC,,,https://bioportal.bioontology.org/ontologies/DCAT-FDC,,,,,,,,,,,,https://data.bioontology.org/ontologies/DCAT-FDC
Psychometric Ontology of Experiences and Measures,POEM,,,https://bioportal.bioontology.org/ontologies/POEM,,,,,,,,,,,,https://data.bioontology.org/ontologies/POEM
 A comprehensive ontology of flaps in reconstructive surgery,OFL,,,https://bioportal.bioontology.org/ontologies/OFL,,,,,,,,,,,,https://data.bioontology.org/ontologies/OFL
Simulation Delivery and Documentation Deviations,SD3,,,https://bioportal.bioontology.org/ontologies/SD3,,,,,,,,,,,,https://data.bioontology.org/ontologies/SD3
BioTop Ontology,BT,,,https://bioportal.bioontology.org/ontologies/BT,,,,,,,,,,,,https://data.bioontology.org/ontologies/BT
Bioentities,BE,,,https://bioportal.bioontology.org/ontologies/BE,,,,,,,,,,,,https://data.bioontology.org/ontologies/BE
BioPAX Ontology of Biological Pathways,BP,,,https://bioportal.bioontology.org/ontologies/BP,,,,,,,,,,,,https://data.bioontology.org/ontologies/BP
Emergency care ontology,ONTOLURGENCES,,,https://bioportal.bioontology.org/ontologies/ONTOLURGENCES,,,,,,,,,,,,https://data.bioontology.org/ontologies/ONTOLURGENCES
test_cbi,TEST_CBI,,,https://bioportal.bioontology.org/ontologies/TEST_CBI,,,,,,,,,,,,https://data.bioontology.org/ontologies/TEST_CBI
Arctic Data Center Academic Disciplines Ontology,ADCAD,,,https://bioportal.bioontology.org/ontologies/ADCAD,,,,,,,,,,,,https://data.bioontology.org/ontologies/ADCAD
DECIDE ONTOLOGY,DECIDE,,,https://bioportal.bioontology.org/ontologies/DECIDE,,,,,,,,,,,,https://data.bioontology.org/ontologies/DECIDE
ISO 19115 Role Codes,ISO19115ROLES,,,https://bioportal.bioontology.org/ontologies/ISO19115ROLES,,,,,,,,,,,,https://data.bioontology.org/ontologies/ISO19115ROLES
Ontology of Drug Neuropathy Adverse Events,ODNAE,,,https://bioportal.bioontology.org/ontologies/ODNAE,,,,,,,,,,,,https://data.bioontology.org/ontologies/ODNAE
PatientSafetyOntologyRevisted,PSO_2,,,https://bioportal.bioontology.org/ontologies/PSO_2,,,,,,,,,,,,https://data.bioontology.org/ontologies/PSO_2
OntoDM-core/algorithms,ONTODM-ALGORITHM,,,https://bioportal.bioontology.org/ontologies/ONTODM-ALGORITHM,,,,,,,,,,,,https://data.bioontology.org/ontologies/ONTODM-ALGORITHM
vfb_drivers,VFB_DRIVERS,,,https://bioportal.bioontology.org/ontologies/VFB_DRIVERS,,,,,,,,,,,,https://data.bioontology.org/ontologies/VFB_DRIVERS
Life Ontology,LIFO,,,https://bioportal.bioontology.org/ontologies/LIFO,,,,,,,,,,,,https://data.bioontology.org/ontologies/LIFO
physiotherapy,PHY,,,https://bioportal.bioontology.org/ontologies/PHY,,,,,,,,,,,,https://data.bioontology.org/ontologies/PHY
Human Dermatological Disease Ontology,DERMO,,,https://bioportal.bioontology.org/ontologies/DERMO,,,,,,,,,,,,https://data.bioontology.org/ontologies/DERMO
Metagenome Sample Vocabulary,MSV,,,https://bioportal.bioontology.org/ontologies/MSV,,,,,,,,,,,,https://data.bioontology.org/ontologies/MSV
Ontology of Clinical Research,OCRE,,,https://bioportal.bioontology.org/ontologies/OCRE,,,,,,,,,,,,https://data.bioontology.org/ontologies/OCRE
Pathway Ontology,PW,,,https://bioportal.bioontology.org/ontologies/PW,,,,,,,,,,,,https://data.bioontology.org/ontologies/PW
Pipeline Patterns Ontology,PP,,,https://bioportal.bioontology.org/ontologies/PP,,,,,,,,,,,,https://data.bioontology.org/ontologies/PP
Protein Ontology,PR,,,https://bioportal.bioontology.org/ontologies/PR,,,,,,,,,,,,https://data.bioontology.org/ontologies/PR
Plant Ontology,PO,,,https://bioportal.bioontology.org/ontologies/PO,,,,,,,,,,,,https://data.bioontology.org/ontologies/PO
Pulmonary Embolism Ontology,PE,,,https://bioportal.bioontology.org/ontologies/PE,,,,,,,,,,,,https://data.bioontology.org/ontologies/PE
Test Dataset,PU,,,https://bioportal.bioontology.org/ontologies/PU,,,,,,,,,,,,https://data.bioontology.org/ontologies/PU
Ontology of Drug Adverse Events,ODAE,,,https://bioportal.bioontology.org/ontologies/ODAE,,,,,,,,,,,,https://data.bioontology.org/ontologies/ODAE
NGS ontology,NGSONTO,,,https://bioportal.bioontology.org/ontologies/NGSONTO,,,,,,,,,,,,https://data.bioontology.org/ontologies/NGSONTO
Next Generation Biobanking Ontology,NGBO,,,https://bioportal.bioontology.org/ontologies/NGBO,,,,,,,,,,,,https://data.bioontology.org/ontologies/NGBO
DSIP_FieldLab_7,DSIP7,,,https://bioportal.bioontology.org/ontologies/DSIP7,,,,,,,,,,,,https://data.bioontology.org/ontologies/DSIP7
"Culture, Race, Ethnicity and Nationality Ontology",CRENO,,,https://bioportal.bioontology.org/ontologies/CRENO,,,,,,,,,,,,https://data.bioontology.org/ontologies/CRENO
Health_ontology,DDSS,,,https://bioportal.bioontology.org/ontologies/DDSS,,,,,,,,,,,,https://data.bioontology.org/ontologies/DDSS
Diabetes Pharmacology Ontology,DPCO,,,https://bioportal.bioontology.org/ontologies/DPCO,,,,,,,,,,,,https://data.bioontology.org/ontologies/DPCO
APA Tests and Testing cluster,APATANDT,,,https://bioportal.bioontology.org/ontologies/APATANDT,,,,,,,,,,,,https://data.bioontology.org/ontologies/APATANDT
Ontology for Biomedical Investigations,OBI,,,https://bioportal.bioontology.org/ontologies/OBI,,,,,,,,,,,,https://data.bioontology.org/ontologies/OBI
Ontology for Biobanking,OBIB,,,https://bioportal.bioontology.org/ontologies/OBIB,,,,,,,,,,,,https://data.bioontology.org/ontologies/OBIB
Clinical Trials Ontology - Neurodegenerative Diseases,CTO-NDD,,,https://bioportal.bioontology.org/ontologies/CTO-NDD,,,,,,,,,,,,https://data.bioontology.org/ontologies/CTO-NDD
RegenBase ontology,RB,,,https://bioportal.bioontology.org/ontologies/RB,,,,,,,,,,,,https://data.bioontology.org/ontologies/RB
Rat Strain Ontology,RS,,,https://bioportal.bioontology.org/ontologies/RS,,,,,,,,,,,,https://data.bioontology.org/ontologies/RS
Radiomics Ontology,RO,,,https://bioportal.bioontology.org/ontologies/RO,,,,,,,,,,,,https://data.bioontology.org/ontologies/RO
Ontology of Glucose Metabolism Disorder,OGMD,,,https://bioportal.bioontology.org/ontologies/OGMD,,,,,,,,,,,,https://data.bioontology.org/ontologies/OGMD
Ontology for General Medical Science,OGMS,,,https://bioportal.bioontology.org/ontologies/OGMS,,,,,,,,,,,,https://data.bioontology.org/ontologies/OGMS
"Quantities, Units, Dimensions, and Types Ontology",QUDT,,,https://bioportal.bioontology.org/ontologies/QUDT,,,,,,,,,,,,https://data.bioontology.org/ontologies/QUDT
FirstOntologyForUMMS,UMMS,,,https://bioportal.bioontology.org/ontologies/UMMS,,,,,,,,,,,,https://data.bioontology.org/ontologies/UMMS
trasformative machine learning metadata,TML,,,https://bioportal.bioontology.org/ontologies/TML,,,,,,,,,,,,https://data.bioontology.org/ontologies/TML
Plant Experimental Assay Ontology,PEAO,,,https://bioportal.bioontology.org/ontologies/PEAO,,,,,,,,,,,,https://data.bioontology.org/ontologies/PEAO
Social Determinants of Health Ontology,SOHO,,,https://bioportal.bioontology.org/ontologies/SOHO,,,,,,,,,,,,https://data.bioontology.org/ontologies/SOHO
Pre-eclampsia Ontology,PE-O,,,https://bioportal.bioontology.org/ontologies/PE-O,,,,,,,,,,,,https://data.bioontology.org/ontologies/PE-O
The Extensible Observation Ontology,OBOE,,,https://bioportal.bioontology.org/ontologies/OBOE,,,,,,,,,,,,https://data.bioontology.org/ontologies/OBOE
The NeIC PaRI beer vocabulary,NEICBEER,,,https://bioportal.bioontology.org/ontologies/NEICBEER,,,,,,,,,,,,https://data.bioontology.org/ontologies/NEICBEER
MWS-WSM,LIB,,,https://bioportal.bioontology.org/ontologies/LIB,,,,,,,,,,,,https://data.bioontology.org/ontologies/LIB
Amino Acid Ontology,AMINO-ACID,,,https://bioportal.bioontology.org/ontologies/AMINO-ACID,,,,,,,,,,,,https://data.bioontology.org/ontologies/AMINO-ACID
Clinical MetaData Ontology,CMDO,,,https://bioportal.bioontology.org/ontologies/CMDO,,,,,,,,,,,,https://data.bioontology.org/ontologies/CMDO
Ontology of Datatypes,ONTODT,,,https://bioportal.bioontology.org/ontologies/ONTODT,,,,,,,,,,,,https://data.bioontology.org/ontologies/ONTODT
HHEAR Value Sets,HHEARVS,,,https://bioportal.bioontology.org/ontologies/HHEARVS,,,,,,,,,,,,https://data.bioontology.org/ontologies/HHEARVS
The State of Alaska's Salmon and People Ontology,SASAP,,,https://bioportal.bioontology.org/ontologies/SASAP,,,,,,,,,,,,https://data.bioontology.org/ontologies/SASAP
Occupation Ontology,OCCO,,,https://bioportal.bioontology.org/ontologies/OCCO,,,,,,,,,,,,https://data.bioontology.org/ontologies/OCCO
Orthology Ontology,ORTH,,,https://bioportal.bioontology.org/ontologies/ORTH,,,,,,,,,,,,https://data.bioontology.org/ontologies/ORTH
Behaviour Change Technique Taxonomy,BCTT,,,https://bioportal.bioontology.org/ontologies/BCTT,,,,,,,,,,,,https://data.bioontology.org/ontologies/BCTT
Glycan Naming Ontology,GNO,,,https://bioportal.bioontology.org/ontologies/GNO,,,,,,,,,,,,https://data.bioontology.org/ontologies/GNO
HIVHPVSchistosomiasis,HIVHPVSCHISTOSOM,,,https://bioportal.bioontology.org/ontologies/HIVHPVSCHISTOSOM,,,,,,,,,,,,https://data.bioontology.org/ontologies/HIVHPVSCHISTOSOM
Interlinking Ontology for Biological Concepts,IOBC,,,https://bioportal.bioontology.org/ontologies/IOBC,,,,,,,,,,,,https://data.bioontology.org/ontologies/IOBC
FAST (Faceted Application of Subject Terminology) Event,FAST-EVENT,,,https://bioportal.bioontology.org/ontologies/FAST-EVENT,,,,,,,,,,,,https://data.bioontology.org/ontologies/FAST-EVENT
Neuropsychological Integrative Ontology,NIO,,,https://bioportal.bioontology.org/ontologies/NIO,,,,,,,,,,,,https://data.bioontology.org/ontologies/NIO
Cellular microscopy phenotype ontology,CMPO,,,https://bioportal.bioontology.org/ontologies/CMPO,,,,,,,,,,,,https://data.bioontology.org/ontologies/CMPO
"Gender, Sex, and Sexual Orientation Ontology",GSSO,,,https://bioportal.bioontology.org/ontologies/GSSO,,,,,,,,,,,,https://data.bioontology.org/ontologies/GSSO
Host Pathogen Interactions Ontology,HPIO,,,https://bioportal.bioontology.org/ontologies/HPIO,,,,,,,,,,,,https://data.bioontology.org/ontologies/HPIO
GlycoRDF,GLYCORDF,,,https://bioportal.bioontology.org/ontologies/GLYCORDF,,,,,,,,,,,,https://data.bioontology.org/ontologies/GLYCORDF
Syrian Drugs and medicines,SYRIANDRUGS,,,https://bioportal.bioontology.org/ontologies/SYRIANDRUGS,,,,,,,,,,,,https://data.bioontology.org/ontologies/SYRIANDRUGS
Mammalian Feeding Muscle Ontology,MFMO,,,https://bioportal.bioontology.org/ontologies/MFMO,,,,,,,,,,,,https://data.bioontology.org/ontologies/MFMO
Social Insect Behavior Ontology,SIBO,,,https://bioportal.bioontology.org/ontologies/SIBO,,,,,,,,,,,,https://data.bioontology.org/ontologies/SIBO
Evidence and Conclusion Ontology,ECO,,,https://bioportal.bioontology.org/ontologies/ECO,,,,,,,,,,,,https://data.bioontology.org/ontologies/ECO
injury process description ontology,IPD,,,https://bioportal.bioontology.org/ontologies/IPD,,,,,,,,,,,,https://data.bioontology.org/ontologies/IPD
VIVO Ontology for Researcher Discovery,VIVO,,,https://bioportal.bioontology.org/ontologies/VIVO,,,,,,,,,,,,https://data.bioontology.org/ontologies/VIVO
Metadata Authority Description Schema in RDF,MADS-RDF,,,https://bioportal.bioontology.org/ontologies/MADS-RDF,,,,,,,,,,,,https://data.bioontology.org/ontologies/MADS-RDF
Semanticscience Integrated Ontology,SIO,,,https://bioportal.bioontology.org/ontologies/SIO,,,,,,,,,,,,https://data.bioontology.org/ontologies/SIO
Units of Measurement Ontology,UO,,,https://bioportal.bioontology.org/ontologies/UO,,,,,,,,,,,,https://data.bioontology.org/ontologies/UO
"Human Developmental Anatomy Ontology, abstract version 1",EHDAA,,,https://bioportal.bioontology.org/ontologies/EHDAA,,,,,,,,,,,,https://data.bioontology.org/ontologies/EHDAA
"Human Developmental Anatomy Ontology, abstract version 2",EHDAA2,,,https://bioportal.bioontology.org/ontologies/EHDAA2,,,,,,,,,,,,https://data.bioontology.org/ontologies/EHDAA2
Reference Sequence Annotation,RSA,,,https://bioportal.bioontology.org/ontologies/RSA,,,,,,,,,,,,https://data.bioontology.org/ontologies/RSA
Teleost Taxonomy Ontology,TTO,,,https://bioportal.bioontology.org/ontologies/TTO,,,,,,,,,,,,https://data.bioontology.org/ontologies/TTO
TempO,TEMPO,,,https://bioportal.bioontology.org/ontologies/TEMPO,,,,,,,,,,,,https://data.bioontology.org/ontologies/TEMPO
"International Classification of Diseases for Oncology, 3rd edition",ICD-O-3,,,https://bioportal.bioontology.org/ontologies/ICD-O-3,,,,,,,,,,,,https://data.bioontology.org/ontologies/ICD-O-3
Sample Processing and Separation Techniques Ontology,SEP,,,https://bioportal.bioontology.org/ontologies/SEP,,,,,,,,,,,,https://data.bioontology.org/ontologies/SEP
Dementia-Related Emotional And Mood Disturbance Non-Pharmacological Treatment Ontology,DREAMDNPTO,,,https://bioportal.bioontology.org/ontologies/DREAMDNPTO,,,,,,,,,,,,https://data.bioontology.org/ontologies/DREAMDNPTO
Non-Pharmacological Interventions (NPIs),NPI,,,https://bioportal.bioontology.org/ontologies/NPI,,,,,,,,,,,,https://data.bioontology.org/ontologies/NPI
LC BIBFRAME 2.0 Vocabulary Extension,BFLC,,,https://bioportal.bioontology.org/ontologies/BFLC,,,,,,,,,,,,https://data.bioontology.org/ontologies/BFLC
Human Health Exposure Analysis Resource,HHEAR,,,https://bioportal.bioontology.org/ontologies/HHEAR,,,,,,,,,,,,https://data.bioontology.org/ontologies/HHEAR
HHEAR Properties,HHEARP,,,https://bioportal.bioontology.org/ontologies/HHEARP,,,,,,,,,,,,https://data.bioontology.org/ontologies/HHEARP
