title,id,keywords,description,url,Sub classification,owl link,Working link,License URL,Record Count
Uber-anatomy ontology,uberon,,"Uberon is an integrated cross-species anatomy ontology representing a variety of entities classified according to traditional anatomical criteria such as structure, function and developmental lineage. The ontology includes comprehensive relationships to taxon-specific anatomical ontologies, allowing integration of functional, phenotype and expression data.",https://www.ebi.ac.uk/ols4/ontologies/uberon,,http://purl.obolibrary.org/obo/uberon/releases/2025-05-28/uberon.owl,http://uberon.org,,
Units of measurement ontology,uo,,Metrical units for use in conjunction with PATO,https://www.ebi.ac.uk/ols4/ontologies/uo,,http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl,https://github.com/bio-ontology-research-group/unit-ontology,,
Unified Phenotype Ontology (uPheno),upheno,,The uPheno ontology integrates multiple phenotype ontologies into a unified cross-species phenotype ontology.,https://www.ebi.ac.uk/ols4/ontologies/upheno,,http://purl.obolibrary.org/obo/upheno/releases/2025-01-11/upheno.owl,https://github.com/obophenotype/upheno,,
Vertebrate Breed Ontology,vbo,,Vertebrate Breed Ontology is an ontology created to serve as a single computable resource for vertebrate breed names.,https://www.ebi.ac.uk/ols4/ontologies/vbo,,http://purl.obolibrary.org/obo/vbo/releases/2025-02-12/vbo.owl,https://github.com/monarch-initiative/vertebrate-breed-ontology,,
Vaccine Ontology,vo,,"The Vaccine Ontology (VO) is a community-based biomedical ontology in the domain of vaccine and vaccination. VO aims to standardize vaccine types and annotations, integrate various vaccine data, and support computer-assisted reasoning. The VO supports basic vaccine R&D and clinical vaccine usage. VO is being developed as a community-based ontology with support and collaborations from the vaccine and bio-ontology communities.",https://www.ebi.ac.uk/ols4/ontologies/vo,,http://purl.obolibrary.org/obo/vo/releases/2025-05-24/vo.owl,https://violinet.org/vaccineontology,,
The Vertebrate Trait Ontology,vt,,"The Vertebrate Trait Ontology is a controlled vocabulary for the description of traits (measurable or observable characteristics) pertaining to the morphology, physiology, or development of vertebrate organisms.",https://www.ebi.ac.uk/ols4/ontologies/vt,,http://purl.obolibrary.org/obo/vt/releases/2025-06-16/vt.owl,https://github.com/AnimalGenome/vertebrate-trait-ontology,,
Vertebrate Taxonomy Ontology,vto,,Comprehensive hierarchy of extinct and extant vertebrate taxa.,https://www.ebi.ac.uk/ols4/ontologies/vto,,http://purl.obolibrary.org/obo/vto/2020-11-13/vto.owl,https://github.com/phenoscape/vertebrate-taxonomy-ontology,,
C. elegans Gross Anatomy Ontology,wbbt,,Ontology about the gross anatomy of the C. elegans,https://www.ebi.ac.uk/ols4/ontologies/wbbt,,http://purl.obolibrary.org/obo/wbbt/releases/2025-03-26/wbbt.owl,https://github.com/obophenotype/c-elegans-gross-anatomy-ontology,,
C. elegans Development Ontology,wbls,,Ontology about the development and life stages of the C. elegans,https://www.ebi.ac.uk/ols4/ontologies/wbls,,http://purl.obolibrary.org/obo/wbls/releases/2025-04-01/wbls.owl,https://github.com/obophenotype/c-elegans-development-ontology,,
C elegans Phenotype Ontology,wbphenotype,,Ontology about C. elegans and other nematode phenotypes,https://www.ebi.ac.uk/ols4/ontologies/wbphenotype,,http://purl.obolibrary.org/obo/wbphenotype/releases/2025-04-01/wbphenotype.owl,https://github.com/obophenotype/c-elegans-phenotype-ontology,,
Xenopus Anatomy Ontology,xao,,XAO represents the anatomy and development of the African frogs Xenopus laevis and tropicalis.,https://www.ebi.ac.uk/ols4/ontologies/xao,,http://purl.obolibrary.org/obo/xao/releases/2024-09-03/xao.owl,http://www.xenbase.org/anatomy/xao.do?method=display,,
Experimental condition ontology,xco,,Conditions under which physiological and morphological measurements are made both in the clinic and in studies involving humans or model organisms.,https://www.ebi.ac.uk/ols4/ontologies/xco,,http://purl.obolibrary.org/obo/xco/4.204/xco.owl,https://rgd.mcw.edu/rgdweb/ontology/view.html?acc_id=XCO:0000000,,
HUPO-PSI cross-linking and derivatization reagents controlled vocabulary,xlmod,,A structured controlled vocabulary for cross-linking reagents used with proteomics mass spectrometry.,https://www.ebi.ac.uk/ols4/ontologies/xlmod,,http://purl.obolibrary.org/obo/xlmod/release/2019-10-28/xlmod.owl,http://www.psidev.info/groups/controlled-vocabularies,,
Xenopus Phenotype Ontology,xpo,,"XPO represents anatomical, cellular, and gene function phenotypes occurring throughout the development of the African frogs Xenopus laevis and tropicalis.",https://www.ebi.ac.uk/ols4/ontologies/xpo,,http://purl.obolibrary.org/obo/xpo/releases/2024-04-18/xpo.owl,https://github.com/obophenotype/xenopus-phenotype-ontology,,
Zebrafish Experimental Conditions Ontology,zeco,,Ontology of Zebrafish Experimental Conditions,https://www.ebi.ac.uk/ols4/ontologies/zeco,,http://purl.obolibrary.org/obo/zeco/releases/2022-02-14/zeco.owl,https://github.com/ybradford/zebrafish-experimental-conditions-ontology,,
Zebrafish Anatomy Ontology (ZFA),zfa,,ZFA description.,https://www.ebi.ac.uk/ols4/ontologies/zfa,,http://purl.obolibrary.org/obo/zfa/releases/2025-01-28/zfa.owl,https://wiki.zfin.org/display/general/Anatomy+Atlases+and+Resources,,
Zebrafish developmental stages ontology,zfs,,Developmental stages of the Zebrafish,https://www.ebi.ac.uk/ols4/ontologies/zfs,,http://purl.obolibrary.org/obo/zfs/releases/2020-03-10/zfs.owl,https://wiki.zfin.org/display/general/Anatomy+Atlases+and+Resources,,
Zebrafish Phenotype Ontology (ZP),zp,,The Zebrafish Phenotype Ontology formally defines all phenotypes of the Zebrafish model organism.,https://www.ebi.ac.uk/ols4/ontologies/zp,,http://purl.obolibrary.org/obo/zp/releases/2024-04-18/zp.owl,https://github.com/obophenotype/zebrafish-phenotype-ontology,,
"GSSO - the Gender, Sex, and Sexual Orientation ontology",gsso,,"GSSO is the Gender, Sex, and Sex Orientation ontology, including terms related to gender identity and expression, sexual and romantic identity and orientation, and sexual and reproductive behavior.",https://www.ebi.ac.uk/ols4/ontologies/gsso,,http://purl.obolibrary.org/obo/gsso/releases/2.0.5/gsso.owl,https://gsso.research.cchmc.org/,,
Human Phenotype Ontology,hp,,The Human Phenotype Ontology (HPO) provides a standardized vocabulary of phenotypic abnormalities and clinical features encountered in human disease.,https://www.ebi.ac.uk/ols4/ontologies/hp,,http://purl.obolibrary.org/obo/hp/releases/2025-01-16/hp-international.owl,http://www.human-phenotype-ontology.org/,,
Kinetic Simulation Algorithm Ontology,kisao,,"A classification of algorithms for simulating biology, their parameters, and their outputs",https://www.ebi.ac.uk/ols4/ontologies/kisao,,,https://github.com/SED-ML/KiSAO,,
Systems Biology Ontology,sbo,,"Terms commonly used in Systems Biology, and in particular in computational modeling.",https://www.ebi.ac.uk/ols4/ontologies/sbo,,,http://www.ebi.ac.uk/sbo/,,
Sickle Cell Disease Ontology,scdo,,An ontology for the standardization of terminology and integration of knowledge about Sickle Cell Disease.,https://www.ebi.ac.uk/ols4/ontologies/scdo,,http://purl.obolibrary.org/obo/scdo/releases/2021-04-15/scdo.owl,https://scdontology.h3abionet.org/,,
Physico-chemical methods and properties,fix,,An ontology of physico-chemical methods and properties.,https://www.ebi.ac.uk/ols4/ontologies/fix,,http://purl.obolibrary.org/obo/fix/releases/2020-04-13/fix.owl,http://www.ebi.ac.uk/chebi,,
Mathematical Modelling Ontology,mamo,,"The Mathematical Modelling Ontology (MAMO) is a classification of the types of mathematical models used mostly in the life sciences, their variables, relationships and other relevant features.",https://www.ebi.ac.uk/ols4/ontologies/mamo,,,http://sourceforge.net/p/mamo-ontology/wiki/Home/,,
Physico-chemical process,rex,,"An ontology of physico-chemical processes, i.e. physico-chemical changes occurring in course of time.",https://www.ebi.ac.uk/ols4/ontologies/rex,,http://purl.obolibrary.org/obo/rex/releases/2017-11-19/rex.owl,,,
Social Insect Behavior Ontology,sibo,,Social Behavior in insects,https://www.ebi.ac.uk/ols4/ontologies/sibo,,,https://github.com/obophenotype/sibo,,
VEuPathDB Ontology,eupath,,"The VEuPathDB ontology is an application ontology developed to encode our understanding of what data is about in the public resources developed and maintained by the Eukaryotic Pathogen, Host and Vector Genomics Resource (VEuPathDB; https://veupathdb.org). The VEuPathDB ontology was previously named the EuPathDB ontology prior to EuPathDB joining with VectorBase.The ontology was built based on the Ontology of Biomedical Investigations (OBI) with integration of other OBO ontologies such as PATO, OGMS, DO, etc. as needed for coverage. Currently the VEuPath ontology is primarily intended to be used for support of the VEuPathDB sites. Terms with VEuPathDB ontology IDs that are not specific to VEuPathDB will be submitted to OBO Foundry ontologies for subsequent import and replacement of those terms when they are available.",https://www.ebi.ac.uk/ols4/ontologies/eupath,,http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl,https://github.com/VEuPathDB-ontology/VEuPathDB-ontology,,
Biological Imaging Methods Ontology,fbbi,,"A structured controlled vocabulary of sample preparation, visualization and imaging methods used in biomedical research.",https://www.ebi.ac.uk/ols4/ontologies/fbbi,,http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl,http://cellimagelibrary.org/,,
Mammalian Feeding Muscle Ontology,mfmo,,"The Mammalian Feeding Muscle Ontology is an antomy ontology for the muscles of the head and neck that participate in feeding, swallowing, and other oral-pharyngeal behaviors.",https://www.ebi.ac.uk/ols4/ontologies/mfmo,,http://purl.obolibrary.org/obo/mfmo/2013-11-16/mfmo.owl,https://github.com/rdruzinsky/feedontology,,
Ontology of Prokaryotic Phenotypic and Metabolic Characters,micro,,An ontology of prokaryotic phenotypic and metabolic characters,https://www.ebi.ac.uk/ols4/ontologies/micro,,,https://github.com/carrineblank/MicrO,,
Ontology of Genetic Susceptibility Factor,ogsf,,"An application ontology to represent genetic susceptibility to a specific disease, adverse event, or a pathological process.",https://www.ebi.ac.uk/ols4/ontologies/ogsf,,,https://github.com/linikujp/OGSF,,
Medaka Developmental Stages,olatdv,,Life cycle stages for Medaka,https://www.ebi.ac.uk/ols4/ontologies/olatdv,,,https://github.com/obophenotype/developmental-stage-ontologies/wiki/OlatDv,,
Platynereis Developmental Stages,pdumdv,,Life cycle stages for Platynereis dumerilii,https://www.ebi.ac.uk/ols4/ontologies/pdumdv,,,https://github.com/obophenotype/developmental-stage-ontologies/wiki/PdumDv,,
Anatomical Entity Ontology,aeo,,"AEO is an ontology of anatomical structures that expands CARO, the Common Anatomy Reference Ontology",https://www.ebi.ac.uk/ols4/ontologies/aeo,,http://purl.obolibrary.org/obo/aeo/releases/2014-12-05/aeo.owl,https://github.com/obophenotype/human-developmental-anatomy-ontology/,,
Cephalopod Ontology,ceph,,An anatomical and developmental ontology for cephalopods,https://www.ebi.ac.uk/ols4/ontologies/ceph,,http://purl.obolibrary.org/obo/ceph/releases/2016-01-12/ceph.owl,https://github.com/obophenotype/cephalopod-ontology,,
"Human developmental anatomy, abstract",ehdaa2,,A structured controlled vocabulary of stage-specific anatomical structures of the developing human.,https://www.ebi.ac.uk/ols4/ontologies/ehdaa2,,http://purl.obolibrary.org/obo/ehdaa2/releases/2013-07-04/ehdaa2.owl,https://github.com/obophenotype/human-developmental-anatomy-ontology,,
Foundational Model of Anatomy Ontology (subset),fma,,This is currently a slimmed down version of FMA,https://www.ebi.ac.uk/ols4/ontologies/fma,,http://purl.obolibrary.org/obo/fma/releases/2020-04-13/fma.owl,http://si.washington.edu/projects/fma,,
Gazetteer,gaz,,A gazetteer constructed on ontological principles. The countries are actively maintained.,https://www.ebi.ac.uk/ols4/ontologies/gaz,,,http://environmentontology.github.io/gaz/,,
Malaria Ontology,idomal,,An application ontology to cover all aspects of malaria as well as the intervention attempts to control it.,https://www.ebi.ac.uk/ols4/ontologies/idomal,,http://purl.obolibrary.org/obo/idomal/2015-03-16/idomal.owl,https://www.vectorbase.org/ontology-browser,,
Mosquito insecticide resistance,miro,,Application ontology for entities related to insecticide resistance in mosquitos,https://www.ebi.ac.uk/ols4/ontologies/miro,,http://purl.obolibrary.org/obo/miro/releases/2014-05-14/miro.owl,,,
Tick Anatomy Ontology,tads,,"The anatomy of the Tick, <i>Families: Ixodidae, Argassidae</i>",https://www.ebi.ac.uk/ols4/ontologies/tads,,http://purl.obolibrary.org/obo/tads/2015-08-20/tads.owl,https://www.vectorbase.org/ontology-browser,,
Mosquito gross anatomy ontology,tgma,,A structured controlled vocabulary of the anatomy of mosquitoes.,https://www.ebi.ac.uk/ols4/ontologies/tgma,,http://purl.obolibrary.org/obo/tgma/releases/2013-06-03/tgma.owl,https://www.vectorbase.org/ontology-browser,,
Unipathway,upa,,A manually curated resource for the representation and annotation of metabolic pathways,https://www.ebi.ac.uk/ols4/ontologies/upa,,http://purl.obolibrary.org/obo/upa/releases/2024-03-06/upa.owl,https://github.com/geneontology/unipathway,,
Adverse Event Reporting Ontology,aero,,"The Adverse Event Reporting Ontology (AERO) is an ontology aimed at supporting clinicians at the time of data entry, increasing quality and accuracy of reported adverse events",https://www.ebi.ac.uk/ols4/ontologies/aero,,,http://purl.obolibrary.org/obo/aero,,
Beta Cell Genomics Ontology,bcgo,,An application ontology built for beta cell genomics studies.,https://www.ebi.ac.uk/ols4/ontologies/bcgo,,http://purl.obolibrary.org/obo/bcgo/2015-07-08/bcgo.owl,https://github.com/obi-bcgo/bcgo,,
Bilateria anatomy,bila,,,https://www.ebi.ac.uk/ols4/ontologies/bila,,http://purl.obolibrary.org/obo/bila/releases/2019-06-12/bila.owl,http://4dx.embl.de/4DXpress,,
"Mouse gross anatomy and development, timed",emap,,A structured controlled vocabulary of stage-specific anatomical structures of the mouse (Mus).,https://www.ebi.ac.uk/ols4/ontologies/emap,,http://purl.obolibrary.org/obo/emap/releases/2020-04-13/emap.owl,http://emouseatlas.org,,
Fly taxonomy,fbsp,,The taxonomy of the family <i>Drosophilidae</i> (largely after Baechli) and of other taxa referred to in FlyBase.,https://www.ebi.ac.uk/ols4/ontologies/fbsp,,http://purl.obolibrary.org/obo/fbsp/releases/2017-11-19/fbsp.owl,http://www.flybase.org/,,
Ontologized MIABIS,omiabis,,An ontological version of MIABIS (Minimum Information About BIobank data Sharing),https://www.ebi.ac.uk/ols4/ontologies/omiabis,,,https://github.com/OMIABIS/omiabis-dev,,
Teleost Anatomy Ontology,tao,,"Multispecies fish anatomy ontology. Originally seeded from ZFA, but intended to cover terms relevant to other taxa",https://www.ebi.ac.uk/ols4/ontologies/tao,,http://purl.obolibrary.org/obo/tao/2012-08-10/tao.owl,http://wiki.phenoscape.org/wiki/Teleost_Anatomy_Ontology,,
Vertebrate Skeletal Anatomy Ontology-,vsao,,Vertebrate skeletal anatomy ontology.,https://www.ebi.ac.uk/ols4/ontologies/vsao,,http://purl.obolibrary.org/obo/vsao/2012-11-06/vsao.owl,https://www.nescent.org/phenoscape/Main_Page,,
,evorao,,,https://www.ebi.ac.uk/ols4/ontologies/evorao,,,,,
,ictv,,,https://www.ebi.ac.uk/ols4/ontologies/ictv,,,,,
,uniprotrdfs,,,https://www.ebi.ac.uk/ols4/ontologies/uniprotrdfs,,,,,
The Earth Metabolome Initiative (EMI) ontology,emi,,The Earth Metabolome Initiative (EMI) ontology is designed to capture and structure the metabolic content of all currently known species on our planet.,https://www.ebi.ac.uk/ols4/ontologies/emi,,https://purl.org/emi/version/0.3,https://purl.org/emi/documentation,,
Human Reference Atlas (HRA),hra,,"The Human Reference Atlas (HRA) is a comprehensive, high-resolution, three-dimensional atlas of all the cells in the healthy human body. The Human Reference Atlas provides standard terminologies and data structures for describing specimens, biological structures, and spatial positions linked to existing ontologies.",https://www.ebi.ac.uk/ols4/ontologies/hra,,,https://humanatlas.io,,
,dcat,,,https://www.ebi.ac.uk/ols4/ontologies/dcat,,http://www.w3.org/ns/dcat3,,,
,biolink,,,https://www.ebi.ac.uk/ols4/ontologies/biolink,,,https://biolink.github.io/biolink-model/,,
Addiction Ontology,addicto,,The Addiction Ontology (AddictO) is an ontology being developed all aspects of addiction research.,https://www.ebi.ac.uk/ols4/ontologies/addicto,,http://addictovocab.org/addicto.owl/2025-03-17,https://addictovocab.org,,
Developing Human Brain Atlas Ontology,dhba,,An application ontology built by combining ontologised versions of the Allen Institute Developing Human Brain Atlas (DHBA) Structure Graph mapped to Uberon.,https://www.ebi.ac.uk/ols4/ontologies/dhba,,https://purl.brain-bican.org/ontology/dhbao/releases/2025-02-10/dhbao.owl,https://purl.brain-bican.org/ontology/dhbao,,
Human Brain Atlas Ontology,hba,,An application ontology built by combining ontologised versions of the Allen Institute Human Brain Atlas (HBA) Structure Graph mapped to Uberon.,https://www.ebi.ac.uk/ols4/ontologies/hba,,https://purl.brain-bican.org/ontology/hbao/releases/2025-02-10/hbao.owl,https://purl.brain-bican.org/ontology/hbao,,
Semantic Mapping Vocabulary,semapv,,"The Semantic Mapping Vocabulary (SEMAPV) captures concepts and relations related to semantic matching, including types of matching (e.g. lexical, manually curated), preprocessing methods and specialised mapping relations.",https://www.ebi.ac.uk/ols4/ontologies/semapv,,http://w3id.org/semapv/vocab/releases/2025-01-06/semapv.owl,https://mapping-commons.github.io/semantic-mapping-vocabulary/,,
SwissLipids,slm,,"SwissLipids is a curated resource that provides information about known lipids, including lipid structure, metabolism, interactions, and subcellular and tissue localization. Information is curated from peer-reviewed literature and referenced using established ontologies, and provided with full provenance and evidence codes for curated assertions.",https://www.ebi.ac.uk/ols4/ontologies/slm,,,,,
LIPID MAPS,lipidmaps,,,https://www.ebi.ac.uk/ols4/ontologies/lipidmaps,,,https://lipidmaps.org,,
,oio,,,https://www.ebi.ac.uk/ols4/ontologies/oio,,,,,
Chemical Analysis Metadata Platform (ChAMP) Ontology version 0.2,cao,,The Chemical Analysis Ontology (CAO) is an ontology developed as part of the Chemical Analaysis Metadata Project (ChAMP) as a resource to semantically annotate standards developed using the ChAMP platform.  For more information go to http://champ-project.org.,https://www.ebi.ac.uk/ols4/ontologies/cao,,,https://champ.stuchalk.domains.unf.edu/cao,,
The RDF Schema vocabulary (RDFS),rdfs,,,https://www.ebi.ac.uk/ols4/ontologies/rdfs,,,,,
The OWL 2 Schema vocabulary (OWL 2),owl,,,https://www.ebi.ac.uk/ols4/ontologies/owl,,http://www.w3.org/2002/07/owl,,,
,skos,,,https://www.ebi.ac.uk/ols4/ontologies/skos,,,,,
,dcterms,,,https://www.ebi.ac.uk/ols4/ontologies/dcterms,,,,,
,dc,,,https://www.ebi.ac.uk/ols4/ontologies/dc,,,,,
,schemaorg_http,,,https://www.ebi.ac.uk/ols4/ontologies/schemaorg_http,,,,,
,schemaorg_https,,,https://www.ebi.ac.uk/ols4/ontologies/schemaorg_https,,,,,
PHI-base Ontology,phi,,Pathogen-Host Interaction database Ontology used by Ensembl,https://www.ebi.ac.uk/ols4/ontologies/phi,,http://purl.obolibrary.org/obo/PHI/releases/2017-11-06/PHI.owl,,,
Metabolomics Standards Initiative Ontology (MSIO),msio,,an application ontology for supporting description and annotation of mass-spectrometry and nmr-spectroscopy based metabolomics experiments and fluxomics studies.,https://www.ebi.ac.uk/ols4/ontologies/msio,,,https://github.com/MSI-Metabolomics-Standards-Initiative/MSIO,,
DICOM Controlled Terminology,dicom,,DICOM Controlled Terminology,https://www.ebi.ac.uk/ols4/ontologies/dicom,,,http://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_D.html,,
Ensembl Glossary,ensemblglossary,,"The Ensembl glossary lists the terms, data types and file types that are used in Ensembl and describes how they are used.",https://www.ebi.ac.uk/ols4/ontologies/ensemblglossary,,http://ensembl.org/glossary/ensembl-glossary/releases/2023-01-04/ensembl-glossary.owl,http://ensembl.org/glossary,,
Experimental Factor Ontology,efo,,"The Experimental Factor Ontology (EFO) provides a systematic description of many experimental variables available in EBI databases, and for external projects such as the NHGRI GWAS catalogue. It combines parts of several biological ontologies, such as anatomy, disease and chemical compounds. The scope of EFO is to support the annotation, analysis and visualization of data handled by many groups at the EBI and as the core ontology for OpenTargets.org",https://www.ebi.ac.uk/ols4/ontologies/efo,,http://www.ebi.ac.uk/efo/releases/v3.79.0/efo.owl,http://www.ebi.ac.uk/efo,,
Orphanet Rare Disease Ontology,ordo,,"The Orphanet Rare Disease ontology (ORDO) is jointly developed by Orphanet and the EBI to provide a structured vocabulary for rare diseases capturing relationships between diseases, genes and other relevant features which will form a useful resource for the computational analysis of rare diseases. It derived from the Orphanet database (www.orpha.net ) , a multilingual database dedicated to rare diseases populated from literature and validated by international experts. It integrates a nosology (classification of rare diseases), relationships (gene-disease relations, epiemological data) and connections with other terminologies (MeSH, UMLS, MedDRA),databases (OMIM, UniProtKB, HGNC, ensembl, Reactome, IUPHAR, Geantlas) or classifications (ICD10).",https://www.ebi.ac.uk/ols4/ontologies/ordo,,https://www.orphadata.com/data/ontologies/ordo/last_version/ORDO_en_4.6.owl,,,
Terminology for Description of Dynamics,teddy,,"TEDDY is an ontology for dynamical behaviours, observable dynamical phenomena, and control elements of bio-models and biological systems in Systems and Synthetic Biology.",https://www.ebi.ac.uk/ols4/ontologies/teddy,,http://identifiers.org/combine.specifications/teddy.rel-2014-04-24,,,
EDAM - The ontology of data analysis and management,edam,,"EDAM is a domain ontology of data analysis and data management in bio- and other sciences, and science-based applications. It comprises concepts related to analysis, modelling, optimisation, and data life cycle. Targetting usability by diverse users, the structure of EDAM is relatively simple, divided into 4 main sections: Topic, Operation, Data (incl. Identifier), and Format.",https://www.ebi.ac.uk/ols4/ontologies/edam,,http://edamontology.org/1.25-20240924T0027Z-unstable(1.26),http://edamontology.org,,
Cell Cycle Ontology,cco,,The Cell Cycle Ontology extends existing ontologies for cell cycle knowledge building a resource that integrates and manages knowledge about the cell cycle components and regulatory aspects.,https://www.ebi.ac.uk/ols4/ontologies/cco,,,http://www.semantic-systems-biology.org/apo,,
Regulation of Gene Expression Ontology,rexo,,Regulation of Gene Expression,https://www.ebi.ac.uk/ols4/ontologies/rexo,,,http://www.semantic-systems-biology.org/apo,,
Regulation of Transcription Ontology,reto,,Regulation of Transcription,https://www.ebi.ac.uk/ols4/ontologies/reto,,,http://www.semantic-systems-biology.org/apo,,
Gene Expression Ontology,gexo,,Gene Expression Ontology,https://www.ebi.ac.uk/ols4/ontologies/gexo,,,http://www.semantic-systems-biology.org/apo,,
Cellular Microscopy Phenotype Ontology,cmpo,,"CMPO is a species neutral ontology for describing general phenotypic observations relating to the whole cell, cellular components, cellular processes and cell populations.",https://www.ebi.ac.uk/ols4/ontologies/cmpo,,http://www.ebi.ac.uk/cmpo/releases/2017-12-19/cmpo.owl,http://www.ebi.ac.uk/cmpo,,
eNanoMapper ontology,enm,,"The eNanoMapper project (https://www.enanomapper.net/), NanoCommons project (https://www.nanocommons.eu/) and ACEnano project (http://acenano-project.eu/) are creating a pan-European computational infrastructure for toxicological data management for ENMs, based on semantic web standards and ontologies. This ontology is an application ontology targeting the full domain of nanomaterial safety assessment. It re-uses several other ontologies including the NPO, CHEMINF, ChEBI, and ENVO.",https://www.ebi.ac.uk/ols4/ontologies/enm,,http://enanomapper.github.io/ontologies/releases/10.0/enanomapper.owl,http://www.enanomapper.net/,,
Probability Distribution Ontology,probonto,,"ProbOnto, is an ontology-based knowledge base of probability distributions, featuring more than eighty uni- and multivariate distributions with their defining functions, characteristics, relationships and reparameterisation formulas.",https://www.ebi.ac.uk/ols4/ontologies/probonto,,,http://probonto.org,,
Proteomics Identification Database Ontology,pride,,"Proteomics Identification Database Ontology, terms describing proteomics data and experimental metadata",https://www.ebi.ac.uk/ols4/ontologies/pride,,http://purl.obolibrary.org/obo/pride/releases/2025-02-17/pride.owl,https://github.com/PRIDE-Utilities/pride-ontology,,
Semanticscience Integrated Ontology,sio,,"The Semanticscience Integrated Ontology (SIO) provides a simple, integrated ontology of types and relations for rich description of objects, processes and their attributes.",https://www.ebi.ac.uk/ols4/ontologies/sio,,http://semanticscience.org/ontology/sio/v1.59/sio-release.owl,https://github.com/micheldumontier/semanticscience,,
Unimod protein modification database for mass spectrometry,unimod,,"Unimod is a community supported, comprehensive database of protein modifications for mass spectrometry applications. That is, accurate and verifiable values, derived from elemental compositions, for the mass differences introduced by all types of natural and artificial modifications. Other important information includes any mass change, (neutral loss), that occurs during MS/MS analysis, an d site specificity, (which residues are susceptible to modification and any constraints on the position of the modification within the protein or peptide).",https://www.ebi.ac.uk/ols4/ontologies/unimod,,,http://www.unimod.org/,,
nuclear magnetic resonance CV,nmrcv,,"This artefact is an MSI-approved controlled vocabulary primarily developed under COSMOS EU and PhenoMeNal EU governance. The nmrCV is supporting the nmrML XML format with standardized terms. nmrML is a vendor agnostic open access NMR raw data standard. Its primaly role is analogous to the mzCV for the PSI-approved mzML XML format. It uses BFO2.0 as its Top level. This CV was derived from two predecessors (The NMR CV from the David Wishart Group, developed by Joseph Cruz) and the MSI nmr CV developed by Daniel Schober at the EBI.  This simple taxonomy of terms (no DL semantics used) serves the nuclear magnetic resonance markup language (nmrML) with meaningful descriptors to amend the nmrML xml file with CV terms. Metabolomics scientists are encouraged to use this CV to annotrate their raw and experimental context data, i.e. within nmrML. The approach to have an exchange syntax mixed of an xsd and CV stems from the PSI mzML effort. The reason to branch out from an xsd into a CV is, that in areas where the terminology is likely to change faster than the nmrML xsd could be updated and aligned, an externally and decentrallised maintained CV can accompensate for such dynamics in a more flexible way. A second reason for this set-up is that semantic validity of CV terms used in an nmrML XML instance (allowed CV terms, position/relation to each other, cardinality) can be validated by rule-based proprietary validators:  By means of cardinality specifications and XPath expressions defined in an XML mapping file (an instances of the CvMappingRules.xsd ), one can define what ontology terms are allowed in a specific location of the data model.",https://www.ebi.ac.uk/ols4/ontologies/nmrcv,,http://nmrml.org/cv/v1.1.0/nmrCV.owl,http://nmrml.org/cv/,,
Allotrope Merged Ontology Suite,afo,,Allotrope Merged Ontology Suite,https://www.ebi.ac.uk/ols4/ontologies/afo,,http://purl.allotrope.org/voc/afo/merged/REC/2025/03/merged-without-qudt-and-inferred,,,
FAIRsharing Subject Ontology (SRAO),srao,,"The FAIRsharing Subject Ontology (SRAO) is an application ontology for the categorization of research disciplines across all research domains, from the humanities to the natural sciences. It utilizes multiple external vocabularies.",https://www.ebi.ac.uk/ols4/ontologies/srao,,http://www.fairsharing.org/ontology/subject/SRAO/releases/2025-06-01/SRAO.owl,https://github.com/FAIRsharing/subject-ontology,,
Human Cell Atlas Ontology,hcao,,"Application ontology for human cell types, anatomy and development stages for the Human Cell Atlas.",https://www.ebi.ac.uk/ols4/ontologies/hcao,,http://ontology.data.humancellatlas.org/ontologies/hcao/releases/2023-05-16/hcao.owl,,,
The COVID-19 Infectious Disease Ontology,idocovid19,,"The COVID-19 Infectious Disease Ontology (IDO-COVID-19) is an extension of the Infectious Disease Ontology (IDO) and the Virus Infectious Disease Ontology (VIDO). IDO-COVID-19 follows OBO Foundry guidelines, employs the Basic Formal Ontology as its starting point, and covers epidemiology, classification, pathogenesis, and treatment of terms used to represent infection by the SARS-CoV-2 virus strain, and the associated COVID-19 disease.",https://www.ebi.ac.uk/ols4/ontologies/idocovid19,,http://purl.obolibrary.org/obo/2020-21-07/ido-covid-19.owl,https://github.com/infectious-disease-ontology-extensions/ido-covid-19,,
The Behaviour Change Intervention Ontology,bcio,,The Behaviour Change Intervention Ontology is an ontology for all aspects of human behaviour change interventions and their evaluation.,https://www.ebi.ac.uk/ols4/ontologies/bcio,,http://humanbehaviourchange.org/ontology/bcio.owl/2025-06-13,https://www.humanbehaviourchange.org/,,
CoVoc Coronavirus Vocabulary,covoc,,"The COVID-19 Vocabulary (COVoc) is an ontology containing terms related to the research of the COVID-19 pandemic. This includes host organisms, pathogenicity, gene and gene products, barrier gestures, treatments and more.",https://www.ebi.ac.uk/ols4/ontologies/covoc,,http://purl.obolibrary.org/obo/covoc/releases/2022-10-26/covoc.owl,https://github.com/EBISPOT/covoc,,
